"export-plot data (NetLogo 6.0.2)"
"Praktikum0.nlogo"
"02/16/2018 16:03:20:287 +0100"

"MODEL SETTINGS"



"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","46.3","0","10","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","25","39"

"""default"""
"x","y","color","pen down?"
"0","2","0","true"
"1","0","105","true"
"2","0","25","true"
"3","2","25","true"
"4","0","105","true"
"5","0","25","true"
"6","2","25","true"
"7","0","105","true"
"8","0","25","true"
"9","2","25","true"
"10","0","105","true"
"11","0","25","true"
"12","2","25","true"
"13","0","105","true"
"14","0","25","true"
"15","2","25","true"
"16","0","105","true"
"17","0","25","true"
"18","2","25","true"
"19","0","105","true"
"20","0","25","true"
"21","2","25","true"
"22","0","105","true"
"23","0","25","true"
"24","2","25","true"
"25","0","105","true"
"26","0","25","true"
"27","2","25","true"
"28","0","105","true"
"29","0","25","true"
"30","2","25","true"
"31","0","105","true"
"32","0","25","true"
"33","2","25","true"
"34","0","105","true"
"35","0","25","true"
"36","2","25","true"
"37","0","105","true"
"38","0","25","true"
"39","2","25","true"
